Region,Population,Colour
Almaty,3837027,#e7298a
Akmola,1770355,#7570b3
Aktobe,857711,#66a61e
Atyrau,631841,#e7298a
East Kazakhstan,1379739,#e6ab02
Mangystau,660317,#1b9e77
North Kazakhstan,558584,#1b9e77
Pavlodar,754854,#d95f02
Karagandy,1379061,#1b9e77
Kostanay,875616,#e6ab02
Kyzylorda,783156,#7570b3
Turkistan Region,2987881,#d95f02
West Kazakhstan,646927,#7570b3
Zhambyl,1117220,#66a61e
