Province,Population,Wheat yield 2019 (kg),Colour
Bagmati Pradesh,6026600,2930,#7570b3
Gandaki Pradesh,2472500,2380,#e6ab02
Karnali Pradesh,1701800,2030,#e6ab02
Province No. 1,4766900,3120,#7570b3
Province No. 2,5871100,3350,#7570b3
Province No. 5,4831600,3360,#e6ab02
Sudurpashchim Pradesh,2760947,2170,#e6ab02
