Region,Population,Colour
Auvergne-Rhone-Alpes,8026685,#d95f02
Bourgogne-Franche-Comte,2795301,#1b9e77
Brittany,3329395,#d95f02
Centre-Val de Loire,2566759,#e7298a
Corsica,339178,#e6ab02
Grand Est,5518188,#66a61e
Hauts-de-France,5978266,#7570b3
Ile-de-France,12213364,#e6ab02
Normandy,3319067,#1b9e77
Nouvelle-Aquitaine,5987014,#66a61e
Occitanie,5892817,#e7298a
Pays de la Loire,3786545,#7570b3
Provence-Alpes-Cote d'Azur,5059473,#7570b3
