Region,Population,Colour
Greater Poland,3490597,#7570b3
Holy Cross,1244400,#e7298a
Kuyavian-Pomeranian,2079900,#e7298a
Lesser Poland,3395700,#e6ab02
Lodz,2470610,#66a61e
Lower Silesian,2901000,#d95f02
Lublin,2121600,#d95f02
Lubusz,1015440,#1b9e77
Masovian,5391813,#1b9e77
Opole,988031,#e7298a
Podlaskie,1182700,#e7298a
Pomeranian,2328200,#d95f02
Silesian,4540100,#1b9e77
Subcarpathian,2128747,#7570b3
Warmian-Masurian,1431100,#e6ab02
West Pomeranian,1703000,#e7298a
