Region,Population,GDP,Colour
Burgenland,288229,8674.74,#7570b3
Carinthia ,557371,20474.5,#e6ab02
Lower Austria ,1636287,58421.9,#7570b3
Salzburg,538258,28362.7,#e6ab02
Styria ,1221014,47070.6,#e6ab02
Tyrol ,728537,34523.6,#e6ab02
Upper Austria ,1436791,63730.3,#7570b3
Vienna,1794770,95782.4,#7570b3
Vorarlberg,378490,18357.2,#e6ab02
