Region,Population,Colour
'Asir,2261618,#e7298a
Al Bahah,487108,#d95f02
Al Hudud ash Shamaliyah,375310,#e6ab02
Al Jawf,520737,#1b9e77
Al Madinah,2188138,#66a61e
Al Quassim,1455693,#e7298a
Ar Riyad,8446866,#1b9e77
Ash Sharqiyah,5028753,#d95f02
Ha'il,716021,#d95f02
Jizan,1603659,#66a61e
Makkah,8803545,#e6ab02
Najran,595705,#7570b3
Tabuk,930507,#7570b3
